id,titulo,fecha_inicio,formato,estado,episodios,duracion,generos,estudios,calificacion,popularidad,favoritos
115836,Wo Wei Ge Kuang: Xuanlu Chongqi,2020-10-02,ONA,FINISHED,12.0,23.0,Music|Slice of Life,Shanghai Animation Film Studio,,228,2
112609,Majo no Tabitabi,2020-10-02,TV,FINISHED,12.0,24.0,Adventure|Fantasy|Slice of Life,C2C,74.0,151864,4340
112479,Assault Lily: BOUQUET,2020-10-02,TV,FINISHED,12.0,24.0,Action|Fantasy,Shaft,62.0,35399,483
111137,WAVE!! Surfing Yappe!!,2020-10-02,MOVIE,FINISHED,3.0,90.0,Slice of Life|Sports,Asahi Production,60.0,14955,136
187055,Sylvanian Families: Mini Story Peony,2020-10-01,TV_SHORT,FINISHED,12.0,3.0,Slice of Life,Shogakukan Music & Digital Entertainment,,37,0
132658,Philip,2020-10-01,MUSIC,FINISHED,1.0,4.0,Action|Drama,,58.0,271,3
126201,Gekka Bijin,2020-10-01,MUSIC,FINISHED,1.0,5.0,,,,126,0
114446,Higurashi no Naku Koro ni Gou,2020-10-01,TV,FINISHED,24.0,24.0,Drama|Horror|Mystery|Psychological|Supernatural|Thriller,Passione,69.0,82273,1328
114120,Jiang Ziya,2020-10-01,MOVIE,FINISHED,1.0,110.0,Action|Adventure|Fantasy,One & All Animation Studio|Coco Cartoon,70.0,2412,41
188824,Mini Teukgongdae: Haembeogeogoemurui Seupgyeok,2020-09-30,MOVIE,FINISHED,1.0,86.0,Action|Mecha,,,24,0
141950,Jiyi Guanli Ju,2020-09-30,ONA,FINISHED,1.0,18.0,Action|Mystery|Psychological,Flint Sugar,75.0,6687,113
127403,Laundry,2020-09-30,MUSIC,FINISHED,1.0,4.0,,,53.0,189,2
124561,GOTCHA!,2020-09-29,MUSIC,FINISHED,1.0,3.0,Adventure,bones,82.0,11606,369
124345,Hallelujah - Unmei no Sentaku,2020-09-28,ONA,FINISHED,1.0,54.0,,Yokohama Animation Lab,47.0,444,0
122632,Saikyou Kamizmode!,2020-09-28,ONA,FINISHED,52.0,13.0,Action,Bandai Namco Pictures,49.0,521,3
154197,Hawk no Onayami Soudanshitsu Special,2020-09-25,SPECIAL,FINISHED,1.0,1.0,Comedy,,46.0,413,4
143917,Wish You Luck,2020-09-25,MUSIC,FINISHED,1.0,2.0,,SANZIGEN,67.0,738,8
129692,Benghuai 3: Guilai,2020-09-25,ONA,FINISHED,1.0,2.0,Action|Fantasy|Sci-Fi,miHoYo Anime|wonderium,71.0,942,18
126909,Kamonegi no Kazoe Uta,2020-09-25,MUSIC,FINISHED,1.0,3.0,,,51.0,384,3
120506,Uwaki to Honki THE ANIMATION,2020-09-25,OVA,FINISHED,1.0,17.0,Hentai,Seven,63.0,2939,72
102997,Quanzhi Gaoshou 2,2020-09-25,ONA,FINISHED,12.0,27.0,Action|Drama,Colored Pencil Animation|Colored Pencil Animation Japan,77.0,31747,626
126166,Wasurenai yo ni,2020-09-24,MUSIC,FINISHED,1.0,1.0,,,,46,0
136546,Balala Xiao Moxian: Mofa Hai Ying Bao 2,2020-09-21,TV,FINISHED,26.0,,Mahou Shoujo,,,142,0
127508,Oshi to Tsunagare Nakute Yamu Onnanoko no Kyoku,2020-09-20,MUSIC,FINISHED,1.0,2.0,Drama|Romance,,58.0,331,3
126611,Cotton Candy Ei-Ei-Oh!,2020-09-20,MUSIC,FINISHED,1.0,5.0,Psychological,,66.0,1065,16
133397,Fall in Sunset,2020-09-19,MUSIC,FINISHED,1.0,5.0,,,,96,0
125331,Sirotsumekusa,2020-09-19,MOVIE,FINISHED,1.0,112.0,Thriller,Horipro,,198,0
109125,"Omoi, Omoware, Furi, Furare",2020-09-18,MOVIE,FINISHED,1.0,103.0,Drama|Romance,A-1 Pictures,71.0,30673,402
103047,Violet Evergarden Movie,2020-09-18,MOVIE,FINISHED,1.0,140.0,Drama|Fantasy|Slice of Life,Kyoto Animation,87.0,199426,8426
128418,The IDOLM@STER Cinderella Girls: Starlight Stage CMs,2020-09-17,SPECIAL,FINISHED,10.0,1.0,Music|Slice of Life,CloverWorks|Studio KAI,53.0,475,3
108356,Dragon’s Dogma,2020-09-17,ONA,FINISHED,7.0,26.0,Action|Adventure|Fantasy|Supernatural,Sublimation,54.0,8353,73
114249,22/7: 8+3=?,2020-09-16,OVA,FINISHED,1.0,24.0,Music,A-1 Pictures,62.0,3910,23
193907,Azur Lane: 3 Shuunen Kinen Anime PV,2020-09-15,SPECIAL,FINISHED,1.0,2.0,,MADHOUSE,,172,1
122689,Wan Jie Xian Zong 4,2020-09-14,ONA,FINISHED,48.0,8.0,Action|Adventure|Fantasy|Romance,Ruo Hong Culture,66.0,710,15
125293,Telecaster B-Boy,2020-09-12,MUSIC,FINISHED,1.0,3.0,,,62.0,498,14
127465,Adachi to Shimamura Mini Anime,2020-09-11,ONA,FINISHED,30.0,1.0,Comedy,AQUA ARIS,53.0,1128,8
123948,Sakugasaku,2020-09-11,MUSIC,FINISHED,1.0,4.0,,WIT STUDIO,61.0,496,3
120272,Ling Jian Zun 4,2020-09-11,ONA,FINISHED,560.0,11.0,Action|Adventure|Fantasy,Soyep,66.0,936,41
115082,Kouya no Kotobuki Hikoutai: Kanzenban,2020-09-11,MOVIE,FINISHED,1.0,119.0,Action|Adventure,GEMBA,52.0,1045,6
112788,Umibe no Étranger,2020-09-11,MOVIE,FINISHED,1.0,59.0,Drama|Romance|Slice of Life,Studio Hibari,78.0,80536,3569
111312,Crayon Shin-chan: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,2020-09-11,MOVIE,FINISHED,1.0,104.0,Comedy|Fantasy,Shin-Ei Animation,68.0,1255,14
123903,Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita Mini Anime,2020-09-10,ONA,FINISHED,4.0,2.0,Romance,AQUA ARIS,52.0,1020,12
123198,Xin Yu Gong Yu Shan,2020-09-10,MOVIE,FINISHED,1.0,83.0,Adventure,,,178,3
108978,Chuan Shu Zijiu Zhinan,2020-09-10,ONA,FINISHED,10.0,20.0,Action|Adventure|Drama|Fantasy|Supernatural,Djinn Power,76.0,8205,488
154196,Tsugu Tsugumomo Mini Anime Specials,2020-09-09,SPECIAL,FINISHED,8.0,1.0,Comedy,AQUA ARIS,45.0,347,3
