anime_id,titulo,fecha_inicio,episodios,duracion,calificacion,popularidad,favoritos,formato_id,estado_id
194029,FOXING: Kitsuné-tsuki,2026-07-19,1.0,15.0,,428,1,1,2
215639,Baxian!,2026-07-18,1.0,144.0,,43,3,1,2
214260,Zeri Feisheng,2026-07-18,30.0,20.0,,273,5,3,4
214259,Yao Shen Ji 10,2026-07-18,52.0,8.0,,122,2,3,4
215582,Fate/Grand Order Exhibition: Hoshimi no Kairo,2026-07-17,1.0,1.0,,118,3,5,2
206819,Kimi to Hanabi to Yakusoku to,2026-07-17,1.0,,,5852,46,1,2
182616,Nige Jouzu no Wakagimi 2nd Season,2026-07-17,12.0,24.0,76.0,25228,223,6,4
212969,Dongda Gao Wu Xueyuan,2026-07-16,,,,194,8,3,4
213359,Yami Shibai 17,2026-07-13,,,,428,7,7,4
214031,Mob Psycho 100: 10 Shuunen Kinen Tokubetsu Eizou,2026-07-12,1.0,2.0,76.0,8151,70,5,2
208824,Plannosaurus Gachi Koseibutsu-bu,2026-07-12,,5.0,,323,7,7,4
199066,Hanaori-san wa Tensei Shite mo Kenka ga Shitai,2026-07-12,12.0,24.0,68.0,21780,246,6,4
188139,Futsutsuka na Akujo de wa Gozaimasu ga: Suuguu Chouso Torikae Den,2026-07-12,11.0,24.0,77.0,34591,596,6,4
213750,Bananya: At-Home Party,2026-07-10,1.0,8.0,61.0,513,2,5,2
213638,Xi Yangyang Yu Hui Tailang: Po Jie Shanhai Jue,2026-07-10,60.0,15.0,,18,1,7,2
209961,Shibou Yuugi de Meshi wo Kuu. 44: CLOUDY BEACH,2026-07-10,1.0,90.0,70.0,11105,154,1,2
208754,Unanswered//butterfly: Sword Art Online,2026-07-10,1.0,110.0,58.0,8152,96,1,2
196187,Super no Ura de Yani Suu Futari,2026-07-10,12.0,24.0,82.0,109901,3273,6,4
213961,Youjo Shenki 2,2026-07-09,,2.0,,780,8,3,4
207254,Thunder 3,2026-07-09,,24.0,52.0,1925,17,6,4
184356,Dogul Wang,2026-07-09,12.0,23.0,66.0,30835,407,6,4
108992,Mebius Dust,2026-07-09,,,48.0,7502,60,6,4
