estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
STUDIO POLARIS,1,0,,,,,,1.0,2.0,100.0,100,0.0,0
STUDIO 6'oN,1,1,48.0,48.0,,48.0,48.0,1.0,7.0,700.0,700,2.0,2
SOUL CREATIVE,1,0,,,,,,13.0,13.0,92.0,92,0.0,0
SOLA ANIMATION,1,1,65.0,65.0,,65.0,65.0,1.0,134.0,4144.0,4144,83.0,83
SLEE PRODUCTION,1,0,,,,,,1.0,47.0,40.0,40,1.0,1
SJYNEXCUS,1,0,,,,,,6.0,18.0,223.0,223,4.0,4
R11R,1,1,57.0,57.0,,57.0,57.0,1.0,3.0,262.0,262,6.0,6
Qubic Pictures,1,1,61.0,61.0,,61.0,61.0,4.0,25.0,9083.0,9083,77.0,77
Dangun Pictures,1,1,62.0,62.0,,62.0,62.0,1.0,3.0,935.0,935,2.0,2
Daily Plan.net,1,1,39.0,39.0,,39.0,39.0,12.0,23.0,1035.0,1035,8.0,8
Dai Nippon Printing,1,1,51.0,51.0,,51.0,51.0,12.0,4.0,1610.0,1610,22.0,22
Da Yu,1,0,,,,,,12.0,6.0,84.0,84,1.0,1
DRAWIZ,1,1,32.0,32.0,,32.0,32.0,13.0,5.0,5018.0,5018,15.0,15
DOLESS,1,0,,,,,,2.0,6.0,48.0,48,0.0,0
Paintfree,1,0,,,,,,16.0,17.0,115.0,115,3.0,3
Pai Naodai Animation,1,0,,,,,,6.0,13.0,138.0,138,2.0,2
Crew Cell,1,1,82.0,82.0,,82.0,82.0,1.0,74.0,9771.0,9771,295.0,295
Coyote,1,0,,,,,,1.0,80.0,117.0,117,2.0,2
Saber Project,1,1,55.0,55.0,,55.0,55.0,6.0,30.0,1125.0,1125,13.0,13
Point Five Creations,1,1,68.0,68.0,,68.0,68.0,1.0,111.0,1057.0,1057,24.0,24
Planet Studios,1,0,,,,,,,11.0,119.0,119,0.0,0
Pierce Visual Works,1,0,,,,,,12.0,14.0,40.0,40,1.0,1
Picante Circus,1,1,63.0,63.0,,63.0,63.0,12.0,24.0,18718.0,18718,204.0,204
Perfect Kunpeng,1,0,,,,,,26.0,13.0,39.0,39,0.0,0
Shimogumi,1,0,,,,,,1.0,75.0,92.0,92,0.0,0
Shi Qi Yu Mo,1,0,,,,,,12.0,4.0,277.0,277,3.0,3
Coloroom Pictures,1,0,,,,,,1.0,100.0,189.0,189,2.0,2
Coco Legends,1,0,,,,,,10.0,22.0,42.0,42,0.0,0
Coastline Animation Studio,1,0,,,,,,22.0,20.0,273.0,273,12.0,12
Cloud Culture,1,1,55.0,55.0,,55.0,55.0,18.0,14.0,309.0,309,11.0,11
Chuangqi Studio,1,0,,,,,,26.0,,165.0,165,0.0,0
Chuangpu Animation Studio,1,0,,,,,,16.0,15.0,219.0,219,4.0,4
Chongliyuhua,1,0,,,,,,41.0,3.0,59.0,59,0.0,0
Chirying Culture,1,0,,,,,,4.0,24.0,656.0,656,2.0,2
Sasayuri,1,1,73.0,73.0,,73.0,73.0,1.0,62.0,7045.0,7045,68.0,68
San Blas Animation,1,1,62.0,62.0,,62.0,62.0,,1.0,1776.0,1776,40.0,40
Salamander Pictures,1,0,,,,,,1.0,20.0,98.0,98,1.0,1
Sakura Create,1,1,66.0,66.0,,66.0,66.0,12.0,24.0,64938.0,64938,917.0,917
Saiji,1,0,,,,,,12.0,5.0,94.0,94,0.0,0
Dazzling Star,1,0,,,,,,26.0,12.0,68.0,68,1.0,1
Origin Animation,1,0,,,,,,1.0,104.0,118.0,118,4.0,4
Orcen,1,1,52.0,52.0,,52.0,52.0,16.0,22.0,248.0,248,8.0,8
One Punch,1,0,,,,,,1.0,110.0,156.0,156,4.0,4
One & All Animation Studio,1,1,70.0,70.0,,70.0,70.0,1.0,110.0,2412.0,2412,41.0,41
Onakama,1,0,,,,,,1.0,1.0,99.0,99,1.0,1
October Media,1,1,70.0,70.0,,70.0,70.0,1.0,112.0,1417.0,1417,41.0,41
OZ,1,1,70.0,70.0,,70.0,70.0,12.0,24.0,83726.0,83726,1283.0,1283
ORENDA,1,1,47.0,47.0,,47.0,47.0,1.0,64.0,704.0,704,3.0,3
EGG FIRM,1,1,81.0,81.0,,81.0,81.0,6.0,23.0,97708.0,97708,1438.0,1438
Space Shell,1,1,53.0,53.0,,53.0,53.0,13.0,4.0,366.0,366,4.0,4
Soular Animation,1,0,,,,,,1.0,89.0,55.0,55,0.0,0
Sotsu,1,1,65.0,65.0,,65.0,65.0,12.0,24.0,36923.0,36923,468.0,468
Sorajima Studio,1,0,,,,,,8.0,9.0,231.0,231,5.0,5
Soda Bear Animation,1,1,63.0,63.0,,63.0,63.0,48.0,,1285.0,1285,57.0,57
Skyloong,1,1,64.0,64.0,,64.0,64.0,26.0,15.0,3231.0,3231,72.0,72
Shobi University,1,0,,,,,,1.0,18.0,131.0,131,0.0,0
Duoling Cartoon,1,0,,,,,,12.0,1.0,89.0,89,2.0,2
Doumu Animation,1,0,,,,,,12.0,5.0,46.0,46,0.0,0
Nur edel,1,1,54.0,54.0,,54.0,54.0,,,591.0,591,19.0,19
Netflix Anime Creators' Base,1,1,46.0,46.0,,46.0,46.0,1.0,4.0,1544.0,1544,8.0,8
NOTHING NEW,1,0,,,,,,1.0,,2756.0,2756,14.0,14
NOKID,1,1,65.0,65.0,,65.0,65.0,24.0,4.0,2203.0,2203,65.0,65
Children's Playground Creative,1,0,,,,,,52.0,11.0,154.0,154,2.0,2
Cheer Digiart,1,0,,,,,,52.0,11.0,154.0,154,2.0,2
Charming Fox Animation,1,0,,,,,,1.0,,263.0,263,6.0,6
CGCG Studio Inc.,1,1,61.0,61.0,,61.0,61.0,4.0,25.0,9083.0,9083,77.0,77
CEKAI,1,0,,,,,,1.0,43.0,97.0,97,0.0,0
Story Effect,1,0,,,,,,12.0,5.0,390.0,390,3.0,3
Starry Cube,1,0,,,,,,12.0,2.0,187.0,187,0.0,0
Spell Bound,1,1,42.0,42.0,,42.0,42.0,10.0,2.0,404.0,404,5.0,5
Speed,1,0,,,,,,1.0,24.0,321.0,321,5.0,5
Origin Chasing,1,0,,,,,,24.0,,188.0,188,1.0,1
NAMU Animation,1,0,,,,,,13.0,11.0,377.0,377,4.0,4
NAGOMI,1,1,70.0,70.0,,70.0,70.0,9.0,8.0,1724.0,1724,17.0,17
MontBlanc Pictures,1,1,44.0,44.0,,44.0,44.0,3.0,24.0,12385.0,12385,85.0,85
Miota Studio,1,1,57.0,57.0,,57.0,57.0,5.0,1.0,590.0,590,3.0,3
Minakata Laboratory,1,1,71.0,71.0,,71.0,71.0,1.0,5.0,1232.0,1232,32.0,32
Mili Digital,1,1,57.0,57.0,,57.0,57.0,16.0,20.0,314.0,314,5.0,5
Medo,1,1,57.0,57.0,,57.0,57.0,16.0,,331.0,331,14.0,14
Meditation With a Pencil,1,0,,,,,,1.0,87.0,276.0,276,3.0,3
Bouncy,1,1,53.0,53.0,,53.0,53.0,1.0,16.0,586.0,586,3.0,3
BooKong Culture,1,1,55.0,55.0,,55.0,55.0,12.0,19.0,1354.0,1354,16.0,16
BlueArc Animation Studio,1,0,,,,,,30.0,20.0,214.0,214,4.0,4
Studio Crocodile,1,1,53.0,53.0,,53.0,53.0,24.0,5.0,483.0,483,5.0,5
Studio Clutch,1,1,65.0,65.0,,65.0,65.0,12.0,24.0,36923.0,36923,468.0,468
Studio Artegg,1,0,,,,,,,1.0,22.0,22,1.0,1
Studio Add,1,1,75.0,75.0,,75.0,75.0,13.0,24.0,126207.0,126207,3415.0,3415
E-DEHI Animation Studio,1,0,,,,,,1.0,90.0,27.0,27,1.0,1
Electric Circus,1,0,,,,,,,,30669.0,30669,435.0,435
Ekura Animal,1,0,,,,,,1.0,17.0,50.0,50,0.0,0
Eallin,1,1,57.0,57.0,,57.0,57.0,3.0,2.0,568.0,568,4.0,4
EXNOA,1,1,49.0,49.0,,49.0,49.0,1.0,25.0,2399.0,2399,35.0,35
EVOLROAR,1,0,,,,,,2.0,2.0,203.0,203,1.0,1
Maten Animation,1,0,,,,,,13.0,15.0,180.0,180,7.0,7
Maple Toon,1,0,,,,,,12.0,21.0,176.0,176,4.0,4
Mandrill Picture Corp,1,0,,,,,,16.0,19.0,127.0,127,0.0,0
Studio Live,1,0,,,,,,1.0,,391.0,391,3.0,3
Studio HUIT,1,0,,,,,,12.0,5.0,197.0,197,0.0,0
Studio G-1Neo,1,1,62.0,62.0,,62.0,62.0,1.0,2.0,778.0,778,6.0,6
Studio Fusion,1,1,65.0,65.0,,65.0,65.0,1.0,23.0,6642.0,6642,115.0,115
Bunny Walker,1,1,64.0,64.0,,64.0,64.0,2.0,16.0,3281.0,3281,100.0,100
Bright Studio,1,0,,,,,,16.0,,101.0,101,1.0,1
Brave pictures,1,0,,,,,,1.0,3.0,127.0,127,1.0,1
Boundary,1,1,46.0,46.0,,46.0,46.0,1.0,1.0,205.0,205,2.0,2
MMDGP,1,0,,,,,,50.0,1.0,115.0,115,2.0,2
MARU animation,1,1,77.0,77.0,,77.0,77.0,15.0,25.0,27304.0,27304,551.0,551
Live2D Creative Studio,1,1,57.0,57.0,,57.0,57.0,24.0,3.0,2100.0,2100,29.0,29
BigBigSun,1,1,55.0,55.0,,55.0,55.0,16.0,24.0,466.0,466,7.0,7
Bibury Animation CG,1,1,55.0,55.0,,55.0,55.0,12.0,24.0,13804.0,13804,173.0,173
BeiJing BoYiChuangWei Digital Media,1,1,59.0,59.0,,59.0,59.0,14.0,20.0,1652.0,1652,35.0,35
Bee Media,1,1,60.0,60.0,,60.0,60.0,13.0,24.0,3105.0,3105,57.0,57
BONEDD,1,0,,,,,,24.0,,76.0,76,0.0,0
Studio SUNHAN,1,1,53.0,53.0,,53.0,53.0,1.0,20.0,512.0,512,19.0,19
Studio Roomer,1,0,,,,,,1.0,99.0,177.0,177,0.0,0
Studio Mir,1,1,72.0,72.0,,72.0,72.0,8.0,24.0,49582.0,49582,1131.0,1131
Studio MAGICPOT,1,0,,,,,,1.0,2.0,153.0,153,3.0,3
Ezo’la,1,1,73.0,73.0,,73.0,73.0,12.0,25.0,40339.0,40339,577.0,577
Ether Kitten,1,1,52.0,52.0,,52.0,52.0,8.0,7.0,3143.0,3143,24.0,24
Escape Velocity Animation,1,0,,,,,,26.0,10.0,169.0,169,2.0,2
Elite Animation,1,0,,,,,,26.0,,94.0,94,3.0,3
Lingke Culture,1,0,,,,,,25.0,5.0,52.0,52,1.0,1
LinQ,1,1,49.0,49.0,,49.0,49.0,5.0,24.0,3017.0,3017,28.0,28
Liliyabi,1,0,,,,,,12.0,12.0,479.0,479,13.0,13
Fever Creations,1,1,71.0,71.0,,71.0,71.0,12.0,4.0,5699.0,5699,69.0,69
Fantawild Animation,1,0,,,,,,1.0,99.0,68.0,68,2.0,2
TANOism,1,0,,,,,,41.0,7.0,351.0,351,3.0,3
Suzume,1,0,,,,,,2.0,1.0,150.0,150,1.0,1
Studio Sign,1,0,,,,,,1.0,94.0,839.0,839,9.0,9
Studio Shelter,1,0,,,,,,8.0,18.0,124.0,124,2.0,2
Blaze Studio,1,1,57.0,57.0,,57.0,57.0,16.0,9.0,3912.0,3912,16.0,16
ManHoo Culture,1,1,53.0,53.0,,53.0,53.0,50.0,10.0,405.0,405,8.0,8
Mainichi Eigasha,1,0,,,,,,1.0,24.0,81.0,81,0.0,0
Magilm Pictures,1,1,61.0,61.0,,61.0,61.0,13.0,15.0,1129.0,1129,19.0,19
Magia Doraglier,1,0,,,,,,2.0,10.0,390.0,390,5.0,5
MUSUHI,1,1,57.0,57.0,,57.0,57.0,1.0,4.0,264.0,264,3.0,3
MOJO,1,1,67.0,67.0,,67.0,67.0,12.0,22.0,1513.0,1513,39.0,39
FIREBUG,1,0,,,,,,20.0,1.0,160.0,160,0.0,0
FILMKO,1,1,54.0,54.0,,54.0,54.0,1.0,95.0,332.0,332,5.0,5
Kumarba,1,1,49.0,49.0,,49.0,49.0,48.0,2.0,417.0,417,4.0,4
Koo-Ki,1,0,,,,,,1.0,2.0,38.0,38,0.0,0
Konyoshi,1,0,,,,,,1.0,66.0,88.0,88,1.0,1
Kigumi,1,1,28.0,28.0,,28.0,28.0,12.0,24.0,2296.0,2296,12.0,12
Keika Co. Ltd.,1,1,55.0,55.0,,55.0,55.0,1.0,100.0,1706.0,1706,17.0,17
Ke Yue Xue Zi,1,0,,,,,,10.0,,223.0,223,8.0,8
Kagome Company,1,0,,,,,,1.0,85.0,2525.0,2525,9.0,9
Kachigarasu,1,1,65.0,65.0,,65.0,65.0,12.0,23.0,26019.0,26019,355.0,355
Axis Studios,1,1,77.0,77.0,,77.0,77.0,26.0,20.0,3942.0,3942,190.0,190
Aurora,1,1,50.0,50.0,,50.0,50.0,20.0,9.0,217.0,217,7.0,7
Aura Studio,1,1,66.0,66.0,,66.0,66.0,12.0,24.0,45400.0,45400,651.0,651
Atelier Peuplier,1,1,74.0,74.0,,74.0,74.0,12.0,24.0,39110.0,39110,927.0,927
TWR Entertainment,1,0,,,,,,4.0,14.0,151.0,151,4.0,4
TMX Art,1,0,,,,,,20.0,,212.0,212,7.0,7
Jinnan Studio,1,1,48.0,48.0,,48.0,48.0,12.0,3.0,836.0,836,6.0,6
Jichitai Anime,1,1,50.0,50.0,,50.0,50.0,1.0,20.0,412.0,412,2.0,2
Jiang Toon Animation,1,0,,,,,,26.0,4.0,57.0,57,0.0,0
JUVENAGE,1,1,71.0,71.0,,71.0,71.0,12.0,24.0,18591.0,18591,387.0,387
JJJoy Animation Studios,1,0,,,,,,10.0,,50.0,50,1.0,1
Thunder River,1,0,,,,,,12.0,21.0,176.0,176,4.0,4
The Monk Studios,1,1,55.0,55.0,,55.0,55.0,1.0,100.0,1706.0,1706,17.0,17
Tengu Kobou,1,0,,,,,,1.0,23.0,130.0,130,0.0,0
Ten Tails Animation,1,0,,,,,,2.0,7.0,57.0,57,0.0,0
Teddy,1,1,67.0,67.0,,67.0,67.0,12.0,24.0,48750.0,48750,710.0,710
Team TillDawn,1,1,68.0,68.0,,68.0,68.0,24.0,1.0,5735.0,5735,61.0,61
Take-Y Inc.,1,1,46.0,46.0,,46.0,46.0,1.0,2.0,741.0,741,1.0,1
Taikong Works,1,0,,,,,,16.0,,323.0,323,4.0,4
BETOBE,1,0,,,,,,24.0,,283.0,283,9.0,9
BENTEN Film,1,1,60.0,60.0,,60.0,60.0,13.0,24.0,32873.0,32873,338.0,338
BELLNOX FILMS,1,1,69.0,69.0,,69.0,69.0,13.0,24.0,25703.0,25703,373.0,373
G.H.Y. Culture & Media,1,0,,,,,,16.0,20.0,249.0,249,8.0,8
FuRyu Pictures,1,0,,,,,,2.0,1.0,145.0,145,1.0,1
Frontier One,1,1,72.0,72.0,,72.0,72.0,1.0,2.0,2627.0,2627,35.0,35
Frencel,1,1,58.0,58.0,,58.0,58.0,1.0,3.0,209.0,209,2.0,2
Forest Hunting One,1,0,,,,,,1.0,5.0,76.0,76,0.0,0
UchuPeople,1,1,71.0,71.0,,71.0,71.0,12.0,3.0,3462.0,3462,50.0,50
UOU Studio,1,1,50.0,50.0,,50.0,50.0,1.0,3.0,170.0,170,0.0,0
Tyhoo CG,1,0,,,,,,1.0,,263.0,263,6.0,6
Trash Studio,1,1,46.0,46.0,,46.0,46.0,1.0,54.0,642.0,642,2.0,2
Tomoyasu Murata Company,1,0,,,,,,1.0,18.0,93.0,93,0.0,0
Tomason,1,1,46.0,46.0,,46.0,46.0,1.0,29.0,444.0,444,1.0,1
Thymos Media,1,1,40.0,40.0,,40.0,40.0,5.0,14.0,181.0,181,2.0,2
KUAIYING,1,0,,,,,,52.0,10.0,265.0,265,5.0,5
Joker Films,1,0,,,,,,12.0,5.0,60.0,60,0.0,0
Jintu Pictures,1,0,,,,,,1.0,,372.0,372,3.0,3
Jinni's Animation Studio,1,1,58.0,58.0,,58.0,58.0,10.0,3.0,775.0,775,6.0,6
ILCASHIPS,1,0,,,,,,12.0,24.0,157.0,157,0.0,0
ICHIZIKU,1,1,59.0,59.0,,59.0,59.0,1.0,4.0,275.0,275,4.0,4
Hui Guang Studio,1,0,,,,,,12.0,5.0,131.0,131,0.0,0
Hot Zipang,1,1,59.0,59.0,,59.0,59.0,12.0,24.0,9431.0,9431,75.0,75
Horipro,1,0,,,,,,1.0,112.0,198.0,198,0.0,0
Wolf Smoke Studio,1,1,52.0,52.0,,52.0,52.0,1.0,9.0,212.0,212,3.0,3
WinSing Animation,1,0,,,,,,104.0,15.0,68.0,68,0.0,0
White Lily,1,1,52.0,52.0,,52.0,52.0,1.0,5.0,426.0,426,12.0,12
Wenzhou Mengbu Anime Design,1,0,,,,,,24.0,,188.0,188,1.0,1
Visual Flight,1,1,21.0,21.0,,21.0,21.0,12.0,24.0,25471.0,25471,201.0,201
Vasoon Animation,1,0,,,,,,7.0,23.0,321.0,321,6.0,6
VIGORE,1,1,55.0,55.0,,55.0,55.0,1.0,4.0,195.0,195,3.0,3
VCRWORKS,1,1,50.0,50.0,,50.0,50.0,6.0,2.0,143.0,143,2.0,2
Universal Star Animation,1,0,,,,,,1.0,90.0,121.0,121,2.0,2
GEAR STUDIO,1,1,55.0,55.0,,55.0,55.0,1.0,2.0,322.0,322,5.0,5
G.S. Pictures Animation,1,0,,,,,,1.0,90.0,40.0,40,0.0,0
Green Planet Studio,1,0,,,,,,13.0,22.0,396.0,396,5.0,5
Grass,1,1,64.0,64.0,,64.0,64.0,12.0,23.0,11105.0,11105,125.0,125
Gosay Studio,1,1,67.0,67.0,,67.0,67.0,24.0,5.0,7141.0,7141,85.0,85
Gold Valley Films,1,0,,,,,,1.0,98.0,510.0,510,1.0,1
Yaoyorozu,1,1,49.0,49.0,,49.0,49.0,12.0,2.0,2242.0,2242,8.0,8
Yamiken,1,1,53.0,53.0,,53.0,53.0,1.0,105.0,438.0,438,3.0,3
YOYOmiracle,1,1,56.0,56.0,,56.0,56.0,2.0,9.0,2628.0,2628,23.0,23
YAMATO WORKS,1,0,,,,,,2.0,22.0,170.0,170,1.0,1
Xtorm,1,0,,,,,,12.0,15.0,4084.0,4084,32.0,32
Xiyang Culture,1,0,,,,,,12.0,6.0,41.0,41,0.0,0
Xiaoying Feiyang Pictures,1,1,62.0,62.0,,62.0,62.0,32.0,10.0,1944.0,1944,26.0,26
Xiaolan Friends,1,0,,,,,,13.0,3.0,45.0,45,0.0,0
Xebec Zwei,1,1,70.0,70.0,,70.0,70.0,3.0,24.0,1876.0,1876,14.0,14
XMOV,1,0,,,,,,16.0,18.0,165.0,165,7.0,7
Wonderland,1,1,70.0,70.0,,70.0,70.0,12.0,24.0,92377.0,92377,1851.0,1851
INREALITY,1,0,,,,,,12.0,2.0,245.0,245,3.0,3
Aisle,1,0,,,,,,,,2739.0,2739,23.0,23
302planet,1,0,,,,,,1.0,90.0,27.0,27,1.0,1
ASTROBROS.,1,1,68.0,68.0,,68.0,68.0,1.0,3.0,1163.0,1163,10.0,10
ARMS,1,1,57.0,57.0,,57.0,57.0,3.0,26.0,8748.0,8748,90.0,90
AOI Pro.,1,1,57.0,57.0,,57.0,57.0,3.0,2.0,568.0,568,4.0,4
Ziine Studio,1,0,,,,,,12.0,23.0,379.0,379,3.0,3
ZIZ Entertainment,1,1,56.0,56.0,,56.0,56.0,1.0,19.0,1324.0,1324,30.0,30
Yudubai Animation,1,0,,,,,,12.0,8.0,246.0,246,0.0,0
Youku,1,1,69.0,69.0,,69.0,69.0,4.0,20.0,737.0,737,28.0,28
Yixiang Culture,1,0,,,,,,12.0,,140.0,140,4.0,4
Yinhe Changxing Culture,1,0,,,,,,26.0,,71.0,71,1.0,1
Global Digital Creations,1,0,,,,,,1.0,83.0,44.0,44,0.0,0
Gen Long Culture,1,0,,,,,,16.0,16.0,211.0,211,1.0,1
Gathering,1,1,50.0,50.0,,50.0,50.0,10.0,1.0,201.0,201,2.0,2
Gambit,1,1,40.0,40.0,,40.0,40.0,13.0,24.0,9155.0,9155,53.0,53
GOLD BEAR,1,1,50.0,50.0,,50.0,50.0,2.0,30.0,892.0,892,29.0,29
Qiying Animation,1,0,,,,,,14.0,5.0,241.0,241,2.0,2
Pure Arts,1,1,76.0,76.0,,76.0,76.0,26.0,,1037.0,1037,59.0,59
Production Kai,1,1,71.0,71.0,,71.0,71.0,,1.0,2653.0,2653,64.0,64
Polygon Magic,1,0,,,,,,1.0,4.0,185.0,185,4.0,4
Point Pictures,1,1,46.0,46.0,,46.0,46.0,12.0,3.0,387.0,387,2.0,2
SAKURAPRIN Animation,1,1,50.0,50.0,,50.0,50.0,1.0,25.0,902.0,902,11.0,11
SAFEHOUSE,1,1,61.0,61.0,,61.0,61.0,6.0,25.0,6132.0,6132,71.0,71
Ruichen Pictures,1,0,,,,,,1.0,92.0,126.0,126,2.0,2
Reike Eyes Animation,1,0,,,,,,1.0,24.0,117.0,117,1.0,1
Rastar,1,1,52.0,52.0,,52.0,52.0,12.0,20.0,313.0,313,5.0,5
5BRICKS,1,0,,,,,,26.0,3.0,47.0,47,0.0,0
matlity,1,1,63.0,63.0,,63.0,63.0,1.0,3.0,314.0,314,6.0,6
maroyaka,1,1,49.0,49.0,,49.0,49.0,96.0,1.0,428.0,428,6.0,6
exsa,1,1,72.0,72.0,,72.0,72.0,24.0,24.0,152431.0,152431,4420.0,4420
evg,1,1,49.0,49.0,,49.0,49.0,12.0,24.0,2796.0,2796,19.0,19
Akatsuki Media Studio,1,0,,,,,,,3.0,111.0,111,0.0,0
