estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Studio Gallop,10,3,57.67,59.0,6.11,51.0,63.0,22.2,29.4,801.1,8011,9.3,93
Gekkou,10,10,63.4,63.0,5.4,56.0,73.0,11.0,22.6,37395.9,373959,608.3,6083
ENISHIYA,10,9,65.78,67.0,11.56,50.0,86.0,1.5,5.44,15623.5,156235,833.2,8332
Gaina,10,9,52.78,50.0,11.41,41.0,77.0,15.6,11.7,10355.9,103559,213.6,2136
BLADE,9,9,66.89,68.0,4.28,62.0,74.0,10.22,20.44,47929.56,431366,764.33,6879
ZEXCS,9,9,69.11,70.0,8.95,52.0,79.0,20.89,28.89,16903.56,152132,343.44,3091
WHITE FOX,9,9,76.56,74.0,9.23,61.0,90.0,15.11,28.89,131289.33,1181604,4405.44,39649
bones film,9,9,78.89,78.0,4.11,74.0,87.0,11.22,21.44,86861.22,781751,2550.11,22951
dwarf,9,8,63.0,62.0,10.21,52.0,77.0,2.78,7.44,2222.33,20001,36.89,332
Colored Pencil Animation,9,7,68.43,71.0,9.16,51.0,77.0,13.33,19.71,10404.44,93640,218.22,1964
Qiyuan Yinghua,9,7,59.71,58.0,4.42,56.0,66.0,14.11,28.33,1557.89,14021,20.22,182
PoRO petit,9,9,58.11,59.0,3.98,52.0,65.0,4.0,23.78,1696.78,15271,57.11,514
Cloud Art,9,7,66.29,70.0,7.99,52.0,73.0,20.89,22.71,767.56,6908,35.0,315
CoMix Wave,9,8,64.0,64.5,10.77,50.0,81.0,2.0,19.5,23159.33,208434,758.56,6827
Studio 3Hz,8,8,64.12,65.5,7.3,50.0,71.0,10.62,32.12,38420.5,307364,444.88,3559
Xing Yi Kai Chen,8,5,54.2,55.0,3.27,49.0,58.0,55.88,12.25,291.0,2328,7.88,63
W-Toon Studio,8,6,68.33,67.0,6.31,59.0,76.0,16.12,2.38,3648.62,29189,37.62,301
Anime Antenna Iinkai,8,7,53.43,54.0,4.16,46.0,58.0,2.0,23.62,1116.12,8929,36.62,293
Arvo Animation,8,6,69.67,71.5,3.93,62.0,72.0,9.29,37.86,46420.25,371362,759.38,6075
Studio Hibari,8,8,63.75,65.5,10.55,48.0,78.0,9.62,26.88,30535.62,244285,763.38,6107
BREAKBOTTLE,8,8,58.25,59.0,5.75,50.0,68.0,2.0,19.25,2452.38,19619,86.38,691
domerica,8,8,62.25,59.0,10.99,48.0,78.0,10.38,28.38,24471.75,195774,644.38,5155
AXsiZ,8,8,63.5,64.5,7.01,53.0,75.0,10.5,31.25,45551.88,364415,705.38,5643
Marvy Jack,8,8,61.25,62.5,5.31,49.0,65.0,12.38,31.62,56662.75,453302,769.5,6156
L² Studio,8,8,65.0,65.5,6.0,55.0,73.0,13.12,17.71,1372.12,10977,23.75,190
Fantasier Animation,8,8,73.12,75.0,6.47,59.0,81.0,1.0,5.12,1197.75,9582,27.5,220
2:10 Animation,8,7,58.0,57.0,6.4,49.0,66.0,17.25,15.14,788.5,6308,19.5,156
Shanghai Animation Film Studio,8,2,62.5,62.5,6.36,58.0,67.0,4.71,47.0,224.12,1793,2.25,18
Sola Digital Arts,8,8,60.62,60.5,5.8,51.0,69.0,7.25,47.25,4918.38,39347,63.38,507
C-Station,8,8,69.38,73.0,12.61,48.0,84.0,8.12,29.38,22958.12,183665,532.25,4258
Quad,8,8,57.75,57.5,7.25,46.0,68.0,11.0,16.38,23160.25,185282,328.0,2624
Dandelion Animation Studio,8,7,68.86,69.0,9.77,55.0,87.0,7.0,25.38,5325.62,42605,232.0,1856
PINE JAM,8,8,69.5,72.5,7.78,53.0,76.0,10.88,21.25,49396.62,395173,960.88,7687
studio CANDY BOX,7,5,62.8,62.0,3.96,57.0,67.0,9.0,8.0,8009.71,56068,150.71,1055
HMCH,7,7,75.71,78.0,8.18,59.0,85.0,8.86,21.57,4922.0,34454,180.57,1264
Makaria,7,6,67.17,68.0,8.28,53.0,79.0,7.29,17.86,21089.0,147623,371.86,2603
Infinity Vision,7,1,55.0,55.0,,55.0,55.0,20.83,5.71,166.0,1162,2.57,18
GoHands,7,7,64.57,67.0,9.71,52.0,76.0,11.43,31.71,31747.0,222229,586.43,4105
Studio elle,7,5,53.6,55.0,13.41,32.0,69.0,7.29,16.86,23679.14,165754,301.71,2112
